Group	肝酶正常	肝酶正常	肝酶异常	肝酶异常	肝酶异常	肝酶正常	肝酶正常	肝酶异常
ENTBACSYN-PWY	4.54076055145977e-05	7.53472411714738e-05	2.72594620724707e-05	1.08187467861089e-05	2.30012865507669e-05	5.3732579150744e-06	3.03080071134634e-06	1.82706763156449e-05
FAO-PWY	1.63401878509282e-05	3.04905083630574e-05	3.3184443525789e-05	1.7212111932501e-05	3.2354403838784e-05	6.27280576310331e-06	3.91983345392972e-06	1.51474236744486e-05
FASYN-ELONG-PWY	4.6966097767153e-05	6.20562114734291e-05	8.12721741903958e-05	1.90492750387152e-05	2.38862127841109e-05	1.04932322209314e-05	4.6473046486635e-06	6.18595020596374e-06
FASYN-INITIAL-PWY	3.19209289107622e-05	4.35623814653429e-05	5.62477610236072e-05	1.20991956318641e-05	1.61048893579392e-05	6.64141967659646e-06	2.92438689445384e-06	3.96892394929475e-06
FERMENTATION-PWY	1.9384165371814e-05	3.77940836023364e-05	4.46339905031103e-05	1.71378228244585e-05	2.83657444592224e-05	5.59225677880913e-05	6.90894983102153e-05	7.20995944993918e-06
FOLSYN-PWY	4.46439283702285e-05	5.86290615926449e-05	3.73016215247665e-05	1.30625344197406e-05	4.54682257963999e-05	3.7781472530912e-05	5.17101353961648e-05	3.78030811911418e-05
FUC-RHAMCAT-PWY	3.7325902113998e-05	5.20507799607795e-05	3.16306424490815e-05	1.41411272635835e-05	3.09533261348204e-05	5.0321074356992e-06	4.99270046879916e-06	1.59609206961378e-05
FUCCAT-PWY	2.10368219645758e-05	3.01508584474837e-05	1.67994754933881e-05	7.58107913882054e-06	1.85798257475147e-05	9.85954217344261e-06	1.33480807932142e-05	2.25396983556363e-05
GALACT-GLUCUROCAT-PWY	5.43768498830547e-05	6.42327944912875e-05	0.000115837336452627	0.000178260203627497	0.000200310885180068	0.000207908852348026	0.000202706639893385	0.000215903244072043
GALACTARDEG-PWY	1.16425772983155e-05	2.18970183068496e-05	9.55598899506781e-06	3.98545763992069e-06	5.9623917366571e-06	5.96184023006576e-07	1.32490009808812e-06	1.82762146736074e-06
GALACTUROCAT-PWY	4.65244630319854e-05	6.52492620350479e-05	0.000117248467415119	0.000181003971282533	0.000200671299349372	0.000222321197096249	0.000215257851232507	0.000223898167001689
GLCMANNANAUT-PWY	9.86727861015964e-05	9.40283814676358e-05	0.000178506184307836	0.000198115195660437	0.000238491533272497	0.000201513320040687	0.000226417620654182	0.000264372700838564
GLUCARDEG-PWY	1.16620354690435e-05	2.60800830731441e-05	9.55598899506781e-06	3.46874095272921e-06	6.67034612677519e-06	6.19414087910635e-07	1.51896868236335e-06	1.85350416016729e-06
GLUCARGALACTSUPER-PWY	1.16425772983155e-05	2.18970183068496e-05	9.55598899506781e-06	3.98545763992069e-06	5.9623917366571e-06	5.96184023006576e-07	1.32490009808812e-06	1.82762146736074e-06
GLUCONEO-PWY	3.62622749542134e-06	1.66807516250188e-05	3.39135909883241e-05	1.51683715581234e-05	2.1918703776577e-05	3.47486253052324e-05	2.7086608918731e-05	1.08092315601414e-05
GLUCOSE1PMETAB-PWY	3.56278955192281e-05	6.3869733802897e-05	2.78097311396156e-05	1.21968542868997e-05	1.61375508965331e-05	2.23959454817712e-06	1.8468608202027e-06	2.95239367919464e-06
GLUCUROCAT-PWY	4.11382166647948e-05	4.90430867059871e-05	0.000109900178027975	0.000167599776336388	0.000195167601444965	0.000195872257487467	0.000195397962849705	0.00021297462726612
GLUDEG-I-PWY	3.09401920690356e-05	4.68159126488373e-05	2.7423751187222e-05	1.4721270847644e-05	1.82535108385444e-05	2.63694370882983e-06	2.2078545295043e-06	4.99256125644187e-06
